MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
15A33;15-XX;Matrices over special rings (quaternions, finite fields, etc.);msc=15A33
15A36;15-XX;Matrices of integers;msc=15A36
15A39;15-XX;Linear inequalities;msc=15A39
15A42;15-XX;Inequalities involving eigenvalues and eigenvectors;msc=15A42
15A45;15-XX;Miscellaneous inequalities involving matrices;msc=15A45
15A48;15-XX;"Positive matrices and their generalizations; cones of matrices";msc=15A48
15A51;15-XX;Stochastic matrices;msc=15A51
15A52;15-XX;Random matrices;msc=15A52
15A54;15-XX;Matrices over function rings in one or more variables;msc=15A54
15A57;15-XX;Other types of matrices (Hermitian, skew-Hermitian, etc.);msc=15A57
15A60;15-XX;Norms of matrices, numerical range, applications of functional analysis to matrix theory;msc=15A60
15A63;15-XX;Quadratic and bilinear forms, inner products;msc=15A63
15A66;15-XX;Clifford algebras, spinors;msc=15A66
15A69;15-XX;Multilinear algebra, tensor products;msc=15A69
15A72;15-XX;Vector and tensor algebra, theory of invariants;msc=15A72
15A75;15-XX;Exterior algebra, Grassmann algebras;msc=15A75
15A78;15-XX;Other algebras built from modules;msc=15A78
15A90;15-XX;Applications of matrix theory to physics;msc=15A90
15A99;15-XX;Miscellaneous topics;msc=15A99
16-XX;06XXX;Associative rings and algebras;msc=16?
16-00;16-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=16-00
16-01;16-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=16-01
16-02;16-XX;Research exposition (monographs, survey articles);msc=16-02
16-03;16-XX;Historical;msc=16-03
16-04;16-XX;Explicit machine computation and programs;msc=16-04
16-06;16-XX;Proceedings, conferences, collections, etc.;msc=16-06
16BXX;16-XX;General and miscellaneous;msc=16B?
16B50;16BXX;Category-theoretic methods and results;msc=16B50
16B70;16BXX;Applications of logic;msc=16B70
16B99;16BXX;None of the above, but in this section;msc=16B99
16DXX;16-XX;Modules, bimodules and ideals;msc=16D?
16D10;16DXX;General module theory;msc=16D10
16D20;16DXX;Bimodules;msc=16D20
16D25;16DXX;Ideals;msc=16D25
16D30;16DXX;Infinite-dimensional simple rings;msc=16D30
16D40;16DXX;Free, projective, and flat modules and ideals;msc=16D40
16D50;16DXX;Injective modules, self-injective rings;msc=16D50
16D60;16DXX;Simple and semisimple modules, primitive rings and ideals;msc=16D60
16D70;16DXX;Structure and classification;msc=16D70
16D80;16DXX;Other classes of modules and ideals;msc=16D80
16D90;16DXX;Module categories;msc=16D90
16D99;16DXX;None of the above, but in this section;msc=16D99
16EXX;16-XX;Homological methods;msc=16E?
16E05;16EXX;Syzygies, resolutions, complexes;msc=16E05
16E10;16EXX;Homological dimension;msc=16E10
16E20;16EXX;Grothendieck groups, K-theory, etc.;msc=16E20
16E30;16EXX;Homological functors on modules (Tor, Ext, etc.);msc=16E30
16E40;16EXX;(Co)homology of rings and algebras (e.g. Hochschild, cyclic, dihedral, etc.);msc=16E40
16E45;16EXX;Differential graded algebras and applications;msc=16E45
16E50;16EXX;von Neumann regular rings and generalizations;msc=16E50
16E60;16EXX;Semihereditary and hereditary rings, free ideal rings, Sylvester rings, etc.;msc=16E60
16E65;16EXX;Homological conditions on rings (generalizations of regular, Gorenstein, Cohen-Macaulay rings, etc.);msc=16E65
16E99;16EXX;None of the above, but in this section;msc=16E99
16GXX;16-XX;Representation theory of rings and algebras;msc=16G?
16G10;16GXX;Representations of Artinian rings;msc=16G10
16G20;16GXX;Representations of quivers and partially ordered sets;msc=16G20
16G30;16GXX;Representations of orders, lattices, algebras over commutative rings;msc=16G30
16G50;16GXX;Cohen-Macaulay modules;msc=16G50
16G60;16GXX;Representation type (finite, tame, wild, etc.);msc=16G60
16G70;16GXX;Auslander-Reiten sequences (almost split sequences) and Auslander-Reiten quivers;msc=16G70
16G99;16GXX;None of the above, but in this section;msc=16G99
16H05;16-XX;Orders and arithmetic, separable algebras, Azumaya algebras;msc=16H05
16KXX;16-XX;Division rings and semisimple Artin rings;msc=16K?
16K20;16KXX;Finite-dimensional;msc=16K20
16K40;16KXX;Infinite-dimensional and general;msc=16K40
16K50;16KXX;Brauer groups;msc=16K50
16K99;16KXX;None of the above, but in this section;msc=16K99
16LXX;16-XX;Local rings and generalizations;msc=16L?
16L30;16LXX;Noncommutative local and semilocal rings, perfect rings;msc=16L30
16L60;16LXX;Quasi-Frobenius rings;msc=16L60
16L99;16LXX;None of the above, but in this section;msc=16L99
16NXX;16-XX;Radicals and radical properties of rings;msc=16N?
16N20;16NXX;Jacobson radical, quasimultiplication;msc=16N20
16N40;16NXX;Nil and nilpotent radicals, sets, ideals, rings;msc=16N40
16N60;16NXX;Prime and semiprime rings;msc=16N60
16N80;16NXX;General radicals and rings;msc=16N80
16N99;16NXX;None of the above, but in this section;msc=16N99
16PXX;16-XX;Chain conditions, growth conditions, and other forms of finiteness;msc=16P?
16P10;16PXX;Finite rings and finite-dimensional algebras;msc=16P10
16P20;16PXX;Artinian rings and modules;msc=16P20
16P40;16PXX;Noetherian rings and modules;msc=16P40
16P50;16PXX;Localization and Noetherian rings;msc=16P50
16P60;16PXX;Chain conditions on annihilators and summands: Goldie-type conditions;msc=16P60
16P70;16PXX;"Chain conditions on other classes of submodules, ideals, subrings, etc.; coherence";msc=16P70
16P90;16PXX;Growth rate, Gelfand-Kirillov dimension;msc=16P90
16P99;16PXX;None of the above, but in this section;msc=16P99
16RXX;16-XX;Rings with polynomial identity;msc=16R?
16R10;16RXX;T-ideals, identities, varieties of rings and algebras;msc=16R10
16R20;16RXX;Semiprime p.i. rings, rings embeddable in matrices over commutative rings;msc=16R20
16R30;16RXX;Trace rings and invariant theory;msc=16R30
16R40;16RXX;Identities other than those of matrices over commutative rings;msc=16R40
16R50;16RXX;Other kinds of identities (generalized polynomial, rational, involution);msc=16R50
16R99;16RXX;None of the above, but in this section;msc=16R99
16SXX;16-XX;Rings and algebras arising under various constructions;msc=16S?
16S10;16SXX;Rings determined by universal properties (free algebras, coproducts, adjunction of inverses, etc.);msc=16S10
16S15;16SXX;Finite generation, finite presentability, normal forms (diamond lemma, term-rewriting);msc=16S15
16S20;16SXX;Centralizing and normalizing extensions;msc=16S20
16S30;16SXX;Universal enveloping algebras of Lie algebras;msc=16S30
16S32;16SXX;Rings of differential operators;msc=16S32
16S34;16SXX;Group rings;msc=16S34
16S35;16SXX;Twisted and skew group rings, crossed products;msc=16S35
16S36;16SXX;Ordinary and skew polynomial rings and semigroup rings;msc=16S36
16S37;16SXX;Quadratic and Koszul algebras;msc=16S37
16S38;16SXX;Rings arising from non-commutative algebraic geometry;msc=16S38
16S40;16SXX;Smash products of general Hopf actions;msc=16S40
16S50;16SXX;"Endomorphism rings; matrix rings";msc=16S50
16S60;16SXX;Rings of functions, subdirect products, sheaves of rings;msc=16S60
16S70;16SXX;Extensions of rings by ideals;msc=16S70
16S80;16SXX;Deformations of rings;msc=16S80
16S90;16SXX;Maximal ring of quotients, torsion theories, radicals on module categories;msc=16S90
16S99;16SXX;None of the above, but in this section;msc=16S99
16UXX;16-XX;Conditions on elements;msc=16U?
16U10;16UXX;Integral domains;msc=16U10
16U20;16UXX;Ore rings, multiplicative sets, Ore localization;msc=16U20
16U30;16UXX;Divisibility, noncommutative UFDs;msc=16U30
16U60;16UXX;Units, groups of units;msc=16U60
16U70;16UXX;Center, normalizer (invariant elements);msc=16U70
16U80;16UXX;Generalizations of commutativity;msc=16U80
16U99;16UXX;None of the above, but in this section;msc=16U99
16WXX;16-XX;Rings and algebras with additional structure;msc=16W?
16W10;16WXX;"Rings with involution; Lie, Jordan and other nonassociative structures";msc=16W10
16W20;16WXX;Automorphisms and endomorphisms;msc=16W20
16W22;16WXX;"Actions of groups and semigroups; invariant theory";msc=16W22
16W25;16WXX;Derivations, actions of Lie algebras;msc=16W25
16W30;16WXX;Coalgebras, bialgebras, Hopf algebras;msc=16W30
16W35;16WXX;Ring-theoretic aspects of quantum groups;msc=16W35
16W50;16WXX;Graded rings and modules;msc=16W50
16W55;16WXX;Super (or skew) structure;msc=16W55
16W60;16WXX;Valuations, completions, formal power series and related constructions;msc=16W60
16W70;16WXX;"Filtered rings; filtrational and graded techniques";msc=16W70
16W80;16WXX;Topological and ordered rings and modules;msc=16W80
16W99;16WXX;None of the above, but in this section;msc=16W99
16YXX;16-XX;Generalizations;msc=16Y?
16Y30;16YXX;Near-rings;msc=16Y30
16Y60;16YXX;Semirings;msc=16Y60
16Y99;16YXX;None of the above, but in this section;msc=16Y99
16Z05;16-XX;Computational aspects of associative rings;msc=16Z05
17-XX;06XXX;Nonassociative rings and algebras;msc=17?
17-00;17-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=17-00
17-01;17-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=17-01
17-02;17-XX;Research exposition (monographs, survey articles);msc=17-02
17-03;17-XX;Historical;msc=17-03
17-04;17-XX;Explicit machine computation and programs;msc=17-04
17-06;17-XX;Proceedings, conferences, collections, etc.;msc=17-06
17-08;17-XX;Computational methods;msc=17-08
17AXX;17-XX;General nonassociative rings;msc=17A?
17A01;17AXX;General theory;msc=17A01
17A05;17AXX;Power-associative rings;msc=17A05
17A15;17AXX;Noncommutative Jordan algebras;msc=17A15
17A20;17AXX;Flexible algebras;msc=17A20
17A30;17AXX;Algebras satisfying other identities;msc=17A30
17A32;17AXX;Leibniz algebras;msc=17A32
17A35;17AXX;Division algebras;msc=17A35
17A36;17AXX;Automorphisms, derivations, other operators;msc=17A36
17A40;17AXX;Ternary compositions;msc=17A40
17A42;17AXX;Other n-ary compositions (n ≥ 3);msc=17A42
17A45;17AXX;Quadratic algebras (but not quadratic Jordan algebras);msc=17A45
17A50;17AXX;Free algebras;msc=17A50
17A60;17AXX;Structure theory;msc=17A60
17A65;17AXX;Radical theory;msc=17A65
17A70;17AXX;Superalgebras;msc=17A70
17A75;17AXX;Composition algebras;msc=17A75
17A80;17AXX;Valued algebras;msc=17A80
17A99;17AXX;None of the above, but in this section;msc=17A99
17BXX;17-XX;Lie algebras and Lie superalgebras;msc=17B?
17B01;17BXX;Identities, free Lie (super)algebras;msc=17B01
17B05;17BXX;Structure theory;msc=17B05
17B10;17BXX;Representations, algebraic theory (weights);msc=17B10
17B15;17BXX;Representations, analytic theory;msc=17B15
17B20;17BXX;Simple, semisimple, reductive (super)algebras (roots);msc=17B20
17B25;17BXX;Exceptional (super)algebras;msc=17B25
17B30;17BXX;Solvable, nilpotent (super)algebras;msc=17B30
17B35;17BXX;Universal enveloping (super)algebras;msc=17B35
17B37;17BXX;Quantum groups (quantized enveloping algebras) and related deformations;msc=17B37
17B40;17BXX;Automorphisms, derivations, other operators;msc=17B40
17B45;17BXX;Lie algebras of linear algebraic groups;msc=17B45
17B50;17BXX;Modular Lie (super)algebras;msc=17B50
17B55;17BXX;Homological methods in Lie (super)algebras;msc=17B55
17B56;17BXX;Cohomology of Lie (super)algebras;msc=17B56
17B60;17BXX;Lie (super)algebras associated with other structures (associative, Jordan, etc.);msc=17B60
17B62;17BXX;Lie bialgebras;msc=17B62
17B63;17BXX;Poisson algebras;msc=17B63
17B65;17BXX;Infinite-dimensional Lie (super)algebras;msc=17B65
17B66;17BXX;Lie algebras of vector fields and related (super) algebras;msc=17B66
17B67;17BXX;Kac-Moody (super)algebras (structure and representation theory);msc=17B67
17B68;17BXX;Virasoro and related algebras;msc=17B68
17B69;17BXX;"Vertex operators; vertex operator algebras and related structures";msc=17B69
17B70;17BXX;Graded Lie (super)algebras;msc=17B70
17B75;17BXX;Color Lie (super)algebras;msc=17B75
17B80;17BXX;Applications to integrable systems;msc=17B80
17B81;17BXX;Applications to physics;msc=17B81
17B99;17BXX;None of the above, but in this section;msc=17B99
17CXX;17-XX;Jordan algebras (algebras, triples and pairs);msc=17C?
17C05;17CXX;Identities and free Jordan structures;msc=17C05
17C10;17CXX;Structure theory;msc=17C10
17C17;17CXX;Radicals;msc=17C17
17C20;17CXX;Simple, semisimple algebras;msc=17C20
17C27;17CXX;Idempotents, Peirce decompositions;msc=17C27
17C30;17CXX;Associated groups, automorphisms;msc=17C30
17C36;17CXX;Associated manifolds;msc=17C36
17C37;17CXX;Associated geometries;msc=17C37
17C40;17CXX;Exceptional Jordan structures;msc=17C40
17C50;17CXX;Jordan structures associated with other structures;msc=17C50
17C55;17CXX;Finite-dimensional structures;msc=17C55
17C60;17CXX;Division algebras;msc=17C60
17C65;17CXX;Jordan structures on Banach spaces and algebras;msc=17C65
17C70;17CXX;Super structures;msc=17C70
17C90;17CXX;Applications to physics;msc=17C90
17C99;17CXX;None of the above, but in this section;msc=17C99
17DXX;17-XX;Other nonassociative rings and algebras;msc=17D?
17D05;17DXX;Alternative rings;msc=17D05
17D15;17DXX;Right alternative rings;msc=17D15
17D20;17DXX;(γ, δ)-rings, including (1,-1)-rings;msc=17D20
17D25;17DXX;Lie-admissible algebras;msc=17D25
17D92;17DXX;Genetic algebras;msc=17D92
17D99;17DXX;None of the above, but in this section;msc=17D99
18-XX;06XXX;"Category theory; homological algebra";msc=18?
18-00;18-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=18-00
18-01;18-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=18-01
18-02;18-XX;Research exposition (monographs, survey articles);msc=18-02
18-03;18-XX;Historical;msc=18-03
18-04;18-XX;Explicit machine computation and programs;msc=18-04
18-06;18-XX;Proceedings, conferences, collections, etc.;msc=18-06
18AXX;18-XX;General theory of categories and functors;msc=18A?
18A05;18AXX;Definitions, generalizations;msc=18A05
18A10;18AXX;Graphs, diagram schemes, precategories;msc=18A10
18A15;18AXX;Foundations, relations to logic and deductive systems;msc=18A15
18A20;18AXX;Epimorphisms, monomorphisms, special classes of morphisms, null morphisms;msc=18A20
18A22;18AXX;Special properties of functors (faithful, full, etc.);msc=18A22
18A23;18AXX;Natural morphisms, dinatural morphisms;msc=18A23
18A25;18AXX;Functor categories, comma categories;msc=18A25
18A30;18AXX;Limits and colimits (products, sums, directed limits, pushouts, fiber products, equalizers, kernels, ends and coends, etc.);msc=18A30
18A32;18AXX;Factorization of morphisms, substructures, quotient structures, congruences, amalgams;msc=18A32
18A35;18AXX;Categories admitting limits (complete categories), functors preserving limits, completions;msc=18A35
18A40;18AXX;Adjoint functors (universal constructions, reflective subcategories, Kan extensions, etc.);msc=18A40
18A99;18AXX;None of the above, but in this section;msc=18A99
18BXX;18-XX;Special categories;msc=18B?
18B05;18BXX;Category of sets, characterizations;msc=18B05
18B10;18BXX;Category of relations, additive relations;msc=18B10
18B15;18BXX;Embedding theorems, universal categories;msc=18B15
18B20;18BXX;Categories of machines, automata, operative categories;msc=18B20
18B25;18BXX;Topoi;msc=18B25
18B30;18BXX;Categories of topological spaces and continuous mappings;msc=18B30
18B35;18BXX;Preorders, orders and lattices (viewed as categories);msc=18B35
18B40;18BXX;Groupoids, semigroupoids, semigroups, groups (viewed as categories);msc=18B40
18B99;18BXX;None of the above, but in this section;msc=18B99
18CXX;18-XX;Categories and theories;msc=18C?
18C05;18CXX;Equational categories;msc=18C05
18C10;18CXX;Theories (e.g. algebraic theories), structure, and semantics;msc=18C10
18C15;18CXX;Triples (= standard construction, monad or triad), algebras for a triple, homology and derived functors for triples;msc=18C15
18C20;18CXX;Algebras and Kleisli categories associated with monads;msc=18C20
18C30;18CXX;Sketches and generalizations;msc=18C30
18C35;18CXX;Accessible and locally presentable categories;msc=18C35
18C50;18CXX;Categorical semantics of formal languages;msc=18C50
18C99;18CXX;None of the above, but in this section;msc=18C99
18DXX;18-XX;Categories with structure;msc=18D?
18D05;18DXX;Double categories, 2-categories, bicategories and generalizations;msc=18D05
18D10;18DXX;Monoidal categories (= multiplicative categories), symmetric monoidal categories, braided categories;msc=18D10
18D15;18DXX;Closed categories (closed monoidal and Cartesian closed categories, etc.);msc=18D15
18D20;18DXX;Enriched categories (over closed or monoidal categories);msc=18D20
18D25;18DXX;Strong functors, strong adjunctions;msc=18D25
18D30;18DXX;Fibered categories;msc=18D30
18D35;18DXX;Structured objects in a category (group objects, etc.);msc=18D35
18D50;18DXX;Operads;msc=18D50
18D99;18DXX;None of the above, but in this section;msc=18D99
18EXX;18-XX;Abelian categories;msc=18E?
18E05;18EXX;Preadditive, additive categories;msc=18E05
18E10;18EXX;Exact categories, abelian categories;msc=18E10
18E15;18EXX;Grothendieck categories;msc=18E15
18E20;18EXX;Embedding theorems;msc=18E20
18E25;18EXX;Derived functors and satellites;msc=18E25
18E30;18EXX;Derived categories, triangulated categories;msc=18E30
18E35;18EXX;Localization of categories;msc=18E35
18E40;18EXX;Torsion theories, radicals;msc=18E40
18E99;18EXX;None of the above, but in this section;msc=18E99
18FXX;18-XX;Categories and geometry;msc=18F?
18F05;18FXX;Local categories and functors;msc=18F05
18F10;18FXX;Grothendieck topologies;msc=18F10
18F15;18FXX;Abstract manifolds and fiber bundles;msc=18F15
18F20;18FXX;Presheaves and sheaves;msc=18F20
18F25;18FXX;Algebraic K-theory and L-theory;msc=18F25
18F30;18FXX;Grothendieck groups;msc=18F30
18F99;18FXX;None of the above, but in this section;msc=18F99
18GXX;18-XX;Homological algebra;msc=18G?
18G05;18GXX;Projectives and injectives;msc=18G05
18G10;18GXX;"Resolutions; derived functors";msc=18G10
18G15;18GXX;Ext and Tor, generalizations, Künneth formula;msc=18G15
18G20;18GXX;Homological dimension;msc=18G20
18G25;18GXX;Relative homological algebra, projective classes;msc=18G25
18G30;18GXX;Simplicial sets, simplicial objects (in a category);msc=18G30
18G35;18GXX;Chain complexes;msc=18G35
18G40;18GXX;Spectral sequences, hypercohomology;msc=18G40
18G50;18GXX;Nonabelian homological algebra;msc=18G50
18G55;18GXX;Homotopical algebra;msc=18G55
18G60;18GXX;Other (co)homology theories;msc=18G60
18G99;18GXX;None of the above, but in this section;msc=18G99
19-XX;06XXX;K-theory;msc=19?
19-00;19-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=19-00
19-01;19-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=19-01
19-02;19-XX;Research exposition (monographs, survey articles);msc=19-02
19-03;19-XX;Historical;msc=19-03
19-04;19-XX;Explicit machine computation and programs;msc=19-04
19-06;19-XX;Proceedings, conferences, collections, etc.;msc=19-06
19AXX;19-XX;Grothendieck groups and K0;msc=19A?
19A13;19AXX;Stability for projective modules;msc=19A13
19A15;19AXX;Efficient generation;msc=19A15
19A22;19AXX;Frobenius induction, Burnside and representation rings;msc=19A22
19A31;19AXX;K0 of group rings and orders;msc=19A31
19A49;19AXX;K0 of other rings;msc=19A49
19A99;19AXX;None of the above, but in this section;msc=19A99
19BXX;19-XX;Whitehead groups and K1;msc=19B?
19B10;19BXX;Stable range conditions;msc=19B10
19B14;19BXX;Stability for linear groups;msc=19B14
19B28;19BXX;K1 of group rings and orders;msc=19B28
19B37;19BXX;Congruence subgroup problems;msc=19B37
19B99;19BXX;None of the above, but in this section;msc=19B99
19CXX;19-XX;Steinberg groups and K2;msc=19C?
19C09;19CXX;Central extensions and Schur multipliers;msc=19C09
19C20;19CXX;Symbols, presentations and stability of K2;msc=19C20
19C30;19CXX;K2 and the Brauer group;msc=19C30
19C40;19CXX;Excision for K2;msc=19C40
19C99;19CXX;None of the above, but in this section;msc=19C99
19DXX;19-XX;Higher algebraic K-theory;msc=19D?
19D06;19DXX;Q- and plus-constructions;msc=19D06
19D10;19DXX;Algebraic K-theory of spaces;msc=19D10
19D23;19DXX;Symmetric monoidal categories;msc=19D23
19D25;19DXX;Karoubi-Villamayor-Gersten K-theory;msc=19D25
19D35;19DXX;Negative K-theory, NK and Nil;msc=19D35
19D45;19DXX;Higher symbols, Milnor K-theory;msc=19D45
19D50;19DXX;Computations of higher K-theory of rings;msc=19D50
19D55;19DXX;"K-theory and homology; cyclic homology and cohomology";msc=19D55
19D99;19DXX;None of the above, but in this section;msc=19D99
19EXX;19-XX;K-theory in geometry;msc=19E?
19E08;19EXX;K-theory of schemes;msc=19E08
19E15;19EXX;Algebraic cycles and motivic cohomology;msc=19E15
19E20;19EXX;Relations with cohomology theories;msc=19E20
19E99;19EXX;None of the above, but in this section;msc=19E99
19FXX;19-XX;K-theory in number theory;msc=19F?
19F05;19FXX;Generalized class field theory;msc=19F05
19F15;19FXX;Symbols and arithmetic;msc=19F15
19F27;19FXX;Étale cohomology, higher regulators, zeta and L-functions;msc=19F27
19F99;19FXX;None of the above, but in this section;msc=19F99
19GXX;19-XX;K-theory of forms;msc=19G?
19G05;19GXX;Stability for quadratic modules;msc=19G05
19G12;19GXX;Witt groups of rings;msc=19G12
19G24;19GXX;L-theory of group rings;msc=19G24
19G38;19GXX;Hermitian K-theory, relations with K-theory of rings;msc=19G38
19G99;19GXX;None of the above, but in this section;msc=19G99
19JXX;19-XX;Obstructions from topology;msc=19J?
19J05;19JXX;Finiteness and other obstructions in K0;msc=19J05
19J10;19JXX;Whitehead (and related) torsion;msc=19J10
19J25;19JXX;Surgery obstructions;msc=19J25
19J35;19JXX;Obstructions to group actions;msc=19J35
19J99;19JXX;None of the above, but in this section;msc=19J99
19KXX;19-XX;K-theory and operator algebras;msc=19K?
19K14;19KXX;K0 as an ordered group, traces;msc=19K14
19K33;19KXX;EXT and K-homology;msc=19K33
19K35;19KXX;Kasparov theory (KK-theory);msc=19K35
19K56;19KXX;Index theory;msc=19K56
19K99;19KXX;None of the above, but in this section;msc=19K99
19LXX;19-XX;Topological K-theory;msc=19L?
19L10;19LXX;Riemann-Roch theorems, Chern characters;msc=19L10
19L20;19LXX;J-homomorphism, Adams operations;msc=19L20
19L41;19LXX;Connective K-theory, cobordism;msc=19L41
19L47;19LXX;Equivariant K-theory;msc=19L47
19L64;19LXX;Computations, geometric applications;msc=19L64
19L99;19LXX;None of the above, but in this section;msc=19L99
19M05;19-XX;Miscellaneous applications of K-theory;msc=19M05
20-XX;06XXX;Group theory and generalizations;msc=20?
20-00;20-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=20-00
20-01;20-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=20-01
20-02;20-XX;Research exposition (monographs, survey articles);msc=20-02
20-03;20-XX;Historical;msc=20-03
20-04;20-XX;Explicit machine computation and programs;msc=20-04
20-06;20-XX;Proceedings, conferences, collections, etc.;msc=20-06
20AXX;20-XX;Foundations;msc=20A?
20A05;20AXX;Axiomatics and elementary properties;msc=20A05
20A10;20AXX;Metamathematical considerations;msc=20A10
20A15;20AXX;Applications of logic to group theory;msc=20A15
20A99;20AXX;None of the above, but in this section;msc=20A99
20BXX;20-XX;Permutation groups;msc=20B?
20B05;20BXX;General theory for finite groups;msc=20B05
20B07;20BXX;General theory for infinite groups;msc=20B07
20B10;20BXX;Characterization theorems;msc=20B10
20B15;20BXX;Primitive groups;msc=20B15
20B20;20BXX;Multiply transitive finite groups;msc=20B20
20B22;20BXX;Multiply transitive infinite groups;msc=20B22
20B25;20BXX;Finite automorphism groups of algebraic, geometric, or combinatorial structures;msc=20B25
20B27;20BXX;Infinite automorphism groups;msc=20B27
20B30;20BXX;Symmetric groups;msc=20B30
20B35;20BXX;Subgroups of symmetric groups;msc=20B35
20B40;20BXX;Computational methods;msc=20B40
20B99;20BXX;None of the above, but in this section;msc=20B99
20CXX;20-XX;Representation theory of groups;msc=20C?
20C05;20CXX;Group rings of finite groups and their modules;msc=20C05
20C07;20CXX;Group rings of infinite groups and their modules;msc=20C07
20C08;20CXX;Hecke algebras and their representations;msc=20C08
20C10;20CXX;Integral representations of finite groups;msc=20C10
20C11;20CXX;p-adic representations of finite groups;msc=20C11
20C12;20CXX;Integral representations of infinite groups;msc=20C12
20C15;20CXX;Ordinary representations and characters;msc=20C15
20C20;20CXX;Modular representations and characters;msc=20C20
20C25;20CXX;Projective representations and multipliers;msc=20C25
20C30;20CXX;Representations of finite symmetric groups;msc=20C30
20C32;20CXX;Representations of infinite symmetric groups;msc=20C32
20C33;20CXX;Representations of finite groups of Lie type;msc=20C33
20C34;20CXX;Representations of sporadic groups;msc=20C34
20C35;20CXX;Applications of group representations to physics;msc=20C35
20C40;20CXX;Computational methods;msc=20C40
20C99;20CXX;None of the above, but in this section;msc=20C99
20DXX;20-XX;Abstract finite groups;msc=20D?
20D05;20DXX;Classification of simple and nonsolvable groups;msc=20D05
20D06;20DXX;Simple groups: alternating groups and groups of Lie type;msc=20D06
20D08;20DXX;Simple groups: sporadic groups;msc=20D08
20D10;20DXX;Solvable groups, theory of formations, Schunck classes, Fitting classes, π-length, ranks;msc=20D10
20D15;20DXX;Nilpotent groups, p-groups;msc=20D15
20D20;20DXX;Sylow subgroups, Sylow properties, π-groups, π-structure;msc=20D20
20D25;20DXX;Special subgroups (Frattini, Fitting, etc.);msc=20D25
20D30;20DXX;Series and lattices of subgroups;msc=20D30
20D35;20DXX;Subnormal subgroups;msc=20D35
20D40;20DXX;Products of subgroups;msc=20D40
20D45;20DXX;Automorphisms;msc=20D45
20D60;20DXX;Arithmetic and combinatorial problems;msc=20D60
20D99;20DXX;None of the above, but in this section;msc=20D99
20EXX;20-XX;Structure and classification of infinite or finite groups;msc=20E?
20E05;20EXX;Free nonabelian groups;msc=20E05
20E06;20EXX;Free products, free products with amalgamation, Higman-Neumann-Neumann extensions, and generalizations;msc=20E06
20E07;20EXX;"Subgroup theorems; subgroup growth";msc=20E07
20E08;20EXX;Groups acting on trees;msc=20E08
20E10;20EXX;Quasivarieties and varieties of groups;msc=20E10
20E15;20EXX;Chains and lattices of subgroups, subnormal subgroups;msc=20E15
20E18;20EXX;Limits, profinite groups;msc=20E18
20E22;20EXX;Extensions, wreath products, and other compositions;msc=20E22
20E25;20EXX;Local properties;msc=20E25
20E26;20EXX;Residual properties and generalizations;msc=20E26
20E28;20EXX;Maximal subgroups;msc=20E28
20E32;20EXX;Simple groups;msc=20E32
20E34;20EXX;General structure theorems;msc=20E34
20E36;20EXX;General theorems concerning automorphisms of groups;msc=20E36
20E42;20EXX;"Groups with a BN-pair; buildings";msc=20E42
20E45;20EXX;Conjugacy classes;msc=20E45
20E99;20EXX;None of the above, but in this section;msc=20E99
20FXX;20-XX;Special aspects of infinite or finite groups;msc=20F?
20F05;20FXX;Generators, relations, and presentations;msc=20F05
20F06;20FXX;"Cancellation theory; application of van Kampen diagrams";msc=20F06
20F10;20FXX;Word problems, other decision problems, connections with logic and automata;msc=20F10
20F12;20FXX;Commutator calculus;msc=20F12
20F14;20FXX;Derived series, central series, and generalizations;msc=20F14
20F16;20FXX;Solvable groups, supersolvable groups;msc=20F16
20F17;20FXX;Formations of groups, Fitting classes;msc=20F17
20F18;20FXX;Nilpotent groups;msc=20F18
20F19;20FXX;Generalizations of solvable and nilpotent groups;msc=20F19
20F22;20FXX;Other classes of groups defined by subgroup chains;msc=20F22
20F24;20FXX;FC-groups and their generalizations;msc=20F24
20F28;20FXX;Automorphism groups of groups;msc=20F28
20F29;20FXX;Representations of groups as automorphism groups of algebraic systems;msc=20F29
20F34;20FXX;Fundamental groups and their automorphisms;msc=20F34
20F36;20FXX;"Braid groups; Artin groups";msc=20F36
20F38;20FXX;Other groups related to topology or analysis;msc=20F38
20F40;20FXX;Associated Lie structures;msc=20F40
20F45;20FXX;Engel conditions;msc=20F45
20F50;20FXX;"Periodic groups; locally finite groups";msc=20F50
20F55;20FXX;Reflection and Coxeter groups;msc=20F55
20F60;20FXX;Ordered groups;msc=20F60
20F65;20FXX;Geometric group theory;msc=20F65
20F67;20FXX;Hyperbolic groups and nonpositively curved groups;msc=20F67
20F69;20FXX;Asymptotic properties of groups;msc=20F69
20F99;20FXX;None of the above, but in this section;msc=20F99
20GXX;20-XX;Linear algebraic groups (classical groups);msc=20G?
